"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.6**
[-2, -1.2] 
p=0.01","-1.3**
[-1.6, -1] 
p=0.00043","-1.4**
[-2.6, -0.22] 
p=0.036","-1.4**
[-2.5, -0.31] 
p=0.031"
"Thin","0.72**
[0.17, 1.3] 
p=0.032","0.53**
[0.31, 0.75] 
p=0.003","0.71*
[-0.41, 1.8] 
p=0.089","0.3
[-1.7, 2.3] 
p=0.59"
"rSDI","-0.49*
[-1.2, 0.27] 
p=0.097","-0.34
[-2.9, 2.2] 
p=0.47","-0.32
[-3.1, 2.5] 
p=0.61","-0.76
[-4.9, 3.4] 
p=0.34"
"Thin:rSDI","-0.71
[-2, 0.58] 
p=0.13","-0.19
[-1.1, 0.75] 
p=0.37","-0.86
[-2.6, 0.89] 
p=0.17","0.32
[-3.5, 4.2] 
p=0.7"
"$\tau^2_{site}$","1.2e-09","0.023","0.23","0.077"
"$\tau^2_{treatment}$","0.012","0.015","6.9e-09","0.35"
"$\tau^2_{unit}$","0.0076","0.018","5e-04","1.8e-10"
