"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.6**
[-1.8, -1.4] 
p=0.00082","-1.3**
[-1.5, -1.2] 
p=3.7e-06","-1.4**
[-1.8, -0.95] 
p=0.00096","-1.4**
[-2.2, -0.73] 
p=0.013"
"Burn","0.047
[-0.27, 0.36] 
p=0.63","0.076
[-0.23, 0.39] 
p=0.56","0.14*
[-0.04, 0.33] 
p=0.076","0.044
[-1.1, 1.2] 
p=0.88"
"Thin","0.77**
[0.28, 1.3] 
p=0.02","0.57**
[0.36, 0.78] 
p=0.001","0.79**
[0.42, 1.2] 
p=0.015","0.41
[-1.6, 2.4] 
p=0.47"
"rSDI","-0.49*
[-1.1, 0.082] 
p=0.064","-0.4
[-1.1, 0.34] 
p=0.14","-0.5
[-2.9, 1.9] 
p=0.42","-0.3
[-0.85, 0.25] 
p=0.13"
"Thin:Burn","-0.28
[-0.73, 0.18] 
p=0.13","-0.24*
[-0.5, 0.026] 
p=0.066","-0.26**
[-0.5, -0.026] 
p=0.043","-0.044
[-0.92, 0.83] 
p=0.85"
"$\tau^2_{site}$","0.0048","0.014","0.083","7e-09"
"$\tau^2_{treatment}$","0.013","0.026","5.4e-09","0.18"
"$\tau^2_{unit}$","0.01","0.014","2.8e-11","0"
