"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","0.5**
[0.31, 0.69] 
p-value=0.0042","0.44**
[0.27, 0.61] 
p-value=0.00072","0.66**
[0.47, 0.84] 
p-value=0.0011","0.61*
[-0.19, 1.4] 
p-value=0.082"
"Burn","-0.11*
[-0.23, 0.019] 
p-value=0.071","-0.11
[-0.29, 0.069] 
p-value=0.17","-0.17*
[-0.37, 0.032] 
p-value=0.076","-0.13
[-0.42, 0.15] 
p-value=0.18"
"Thin","-0.27*
[-0.6, 0.06] 
p-value=0.073","-0.24**
[-0.35, -0.13] 
p-value=0.0035","-0.33*
[-0.66, 0.0044] 
p-value=0.051","-0.16
[-1.1, 0.73] 
p-value=0.52"
"Thin:Burn","0.088
[-0.45, 0.63] 
p-value=0.58","0.12
[-0.076, 0.32] 
p-value=0.15","0.14
[-0.17, 0.44] 
p-value=0.22","0.09
[-0.49, 0.67] 
p-value=0.57"
"$\tau^2_{site}$","0.015","0.027","0.0045","0.11"
"$\tau^2_{treatment}$","0.0039","0.0053","0.0041","0.02"
