"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.3**
[-1.5, -1.1] 
p=5e-04","-1.1**
[-1.3, -0.94] 
p=1.4e-05","-1.1**
[-1.5, -0.75] 
p=0.0011","-1.2**
[-1.7, -0.75] 
p=0.0082"
"rSDI","-0.78
[-2.1, 0.51] 
p=0.11","-0.45
[-1.5, 0.58] 
p=0.2","-0.7
[-3.4, 2] 
p=0.33","-0.43*
[-1, 0.16] 
p=0.082"
"$\tau^2_{site}$","2.9e-09","0.0038","0.038","3.8e-09"
"$\tau^2_{treatment}$","0.11","0.091","0.11","0.16"
"$\tau^2_{unit}$","0.011","0.014","1.2e-10","0"
