"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-0.022
[-0.35, 0.31] 
p=0.85","-0.016
[-0.16, 0.13] 
p=0.79","-0.043
[-0.19, 0.1] 
p=0.44","-0.078
[-0.59, 0.43] 
p=0.55"
"Burn","0.046
[-0.21, 0.31] 
p=0.61","0.15*
[-0.019, 0.32] 
p=0.069","0.04
[-0.065, 0.15] 
p=0.32","0.027
[-0.41, 0.46] 
p=0.79"
"Thin","-0.061
[-0.17, 0.05] 
p=0.15","-0.0049
[-0.097, 0.087] 
p=0.89","-0.012
[-0.2, 0.17] 
p=0.85","0.056
[-0.31, 0.42] 
p=0.53"
"Thin:Burn","0.053
[-0.13, 0.24] 
p=0.4","-0.031
[-0.18, 0.12] 
p=0.59","-0.028
[-0.19, 0.13] 
p=0.61","-0.047
[-0.91, 0.82] 
p=0.83"
"$\tau^2_{site}$","0.012","0.0048","0.0058","0.014"
"$\tau^2_{treatment}$","0.0077","0.0079","0.0017","0.0097"
