"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.6**
[-1.9, -1.4] 
p=0.00068","-1.4**
[-1.8, -0.86] 
p=0.0021","-1.4**
[-1.8, -1.1] 
p=0.00053","-1.5**
[-2.4, -0.61] 
p=0.018"
"Burn","0.02
[-0.16, 0.2] 
p=0.66","0.082
[-0.63, 0.79] 
p=0.76","0.15
[-0.12, 0.42] 
p=0.17","0.054
[-1.3, 1.4] 
p=0.88"
"rSDI","-0.95**
[-1.7, -0.23] 
p=0.03","-1.9**
[-3.3, -0.61] 
p=0.025","-0.11
[-1.6, 1.4] 
p=0.76","-0.4
[-4.4, 3.6] 
p=0.57"
"Burn:rSDI","0.98
[-0.86, 2.8] 
p=0.15","2.3*
[-0.12, 4.7] 
p=0.055","-0.14
[-2.4, 2.1] 
p=0.8","0.29
[-3.4, 4] 
p=0.65"
"$\tau^2_{site}$","0.015","0.027","0.057","2.9e-08"
"$\tau^2_{treatment}$","6.3e-09","0.095","0.011","0.11"
"$\tau^2_{unit}$","0.015","0.015","2e-04","2e-12"
