"unit","variable","mean","sd","DBH","CWD","site","pft","model"
"490","treat_mean[Thin]",-1.56259096729436,0.127430741970962,15,1,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.09253377253117,0.157930107346719,15,1,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-2.35052945423997,0.0958347868457025,15,1,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-2.45699488323753,0.121704604515152,15,2,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-2.18794211990844,0.119397020020608,15,2,"Blodgett","cedar","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.09680598817404,0.184876581441784,15,2,"Blodgett","cedar","ddbh_model"
"190","treat_mean[Thin]",-1.67649708669957,0.142810847452214,15,2,"Blodgett","cedar","ddbh_model"
"240","treat_mean[None]",-2.04084088530028,0.0930163630609777,15,2,"Blodgett","cedar","ddbh_model"
"340","treat_mean[Burn]",-2.09325952042351,0.11615713550229,15,2,"Blodgett","cedar","ddbh_model"
"350","treat_mean[Thin]",-1.60902052742958,0.13129399105837,15,2,"Blodgett","cedar","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.1893568415701,0.148116984984954,15,2,"Blodgett","cedar","ddbh_model"
"400","treat_mean[Burn]",-2.15587618326859,0.107749371271944,15,2,"Blodgett","cedar","ddbh_model"
"490","treat_mean[Thin]",-1.50301148150754,0.13101922396241,15,2,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.07247119603036,0.161040469900133,15,2,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-2.14814939481609,0.101735962840275,15,2,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-2.25461482381365,0.130197757973903,15,3,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-2.09304581563777,0.129658943017681,15,3,"Blodgett","cedar","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.07674341167322,0.193381658875297,15,3,"Blodgett","cedar","ddbh_model"
"190","treat_mean[Thin]",-1.61691760091275,0.149116358555034,15,3,"Blodgett","cedar","ddbh_model"
"240","treat_mean[None]",-1.8384608258764,0.106371062603922,15,3,"Blodgett","cedar","ddbh_model"
"340","treat_mean[Burn]",-1.99836321615283,0.127387996563566,15,3,"Blodgett","cedar","ddbh_model"
"350","treat_mean[Thin]",-1.54944104164275,0.140931201651485,15,3,"Blodgett","cedar","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.16929426506928,0.159337109817436,15,3,"Blodgett","cedar","ddbh_model"
"400","treat_mean[Burn]",-2.06097987899792,0.120214415554753,15,3,"Blodgett","cedar","ddbh_model"
