"unit","variable","mean","sd","site","pft","model"
"120","treat_mean[None]",-1.83519325808017,0.201069627841022,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"122","treat_mean[None]",-1.44168849981025,0.119219299354644,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"123","treat_mean[Thin]",-1.13231145689381,0.107287899975419,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"124","treat_mean[Thin]",-1.00801191293298,0.146714836558459,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"125","treat_mean[Thin]",-0.783412890941613,0.167288942354615,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"126","treat_mean[Thin]",-0.651980610780428,0.126728175923629,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"130","treat_mean[Thin]",-0.840993015888416,0.187750408532908,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"150","treat_mean[None]",-1.19524595368142,0.175650406721103,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"156","treat_mean[None]",-1.48857062231531,0.225824010411876,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"159","treat_mean[None]",-1.40182431057866,0.124697537522525,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"181","treat_mean[None]",-1.64871600455919,0.240794974421769,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"190","treat_mean[None]",-1.28958995537444,0.134553996279162,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"FFS2BURN","treat_mean[Burn]",-1.02685845977916,0.318823585054568,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.19461155753452,0.270577481612401,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-1.07246653099524,0.284570748940096,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.66986597566339,0.107219661225822,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS2BURN","treat_mean[Burn]",-0.851882996860391,0.0667600915020869,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.24014340974487,0.115153547849887,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-1.1953738221681,0.0910062111970856,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.63846961912371,0.0754964543787803,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS2BURN","treat_mean[Burn]",-1.0644631849347,0.183482861852761,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.14535459461984,0.229973646649525,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-0.881430289171129,0.186007468770139,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.35652308212117,0.0949043167958065,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"LOLOG","treat_mean[None]",-1.52206637660118,0.0532994550468939,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"LOTHAR","treat_mean[Burn]",-1.18762070430468,0.092145221837755,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"UPLOG","treat_mean[None]",-1.394329580249,0.0526915855029302,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"UPTHAR","treat_mean[Burn]",-1.26323838005985,0.118480828514495,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"1","treat_mean[Burn+Thin]",-1.06020210463777,0.175053128670427,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"2","treat_mean[Burn+Thin]",-1.34304764705338,0.144150892086705,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"3","treat_mean[Burn]",-1.83883386418108,0.079032681774659,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"4","treat_mean[Thin]",-0.643577619128598,0.105868030392086,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"5","treat_mean[Thin]",-0.686565381705566,0.114280846835857,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"6","treat_mean[None]",-1.96475422127434,0.0737138126151314,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"7","treat_mean[None]",-1.81552875901393,0.0622409634341816,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"8","treat_mean[Thin]",-0.695549068897988,0.0981847438770999,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"9","treat_mean[Thin]",-0.567613566810493,0.111604730021146,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"10","treat_mean[Thin]",-0.704513430680952,0.108360811738055,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"11","treat_mean[Thin]",-0.814515498409833,0.0872285557663183,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"12","treat_mean[None]",-1.75660013849226,0.0554733974927088,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"13","treat_mean[Burn+Thin]",-1.08022316697062,0.106468198136427,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"14","treat_mean[Burn]",-1.93841989629999,0.0704360312973435,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"15","treat_mean[Burn+Thin]",-1.07254864491548,0.103374486810379,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"16","treat_mean[Burn]",-1.44767122275124,0.0668840955511229,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"17","treat_mean[Burn+Thin]",-0.930393106076908,0.111514267317498,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"18","treat_mean[Burn+Thin]",-0.967281078233492,0.0912658114302995,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"19","treat_mean[Burn]",-1.71273608264323,0.0930473894896608,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"20","treat_mean[None]",-1.78589228378728,0.0551989109595381,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"21","treat_mean[Thin]",-0.823502120730767,0.104988453071446,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"22","treat_mean[Burn+Thin]",-1.04217592122505,0.130974186150258,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"23","treat_mean[Burn+Thin]",-1.23505872753486,0.115446457359054,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"24","treat_mean[Thin]",-0.610082988360266,0.117666920681138,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"1","treat_mean[Burn+Thin]",-0.943533762418339,0.136448045330733,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"2","treat_mean[Burn+Thin]",-1.18607866782071,0.132365786561736,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"3","treat_mean[Burn]",-1.97522579440516,0.107984372816577,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"4","treat_mean[Thin]",-0.626652899783607,0.096588551202902,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"5","treat_mean[Thin]",-0.722176068691285,0.126427544368127,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"6","treat_mean[None]",-1.79354600961989,0.0704110012349578,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"7","treat_mean[None]",-1.57970580804903,0.0591305096914204,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"8","treat_mean[Thin]",-0.808479433826256,0.104322056749543,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"9","treat_mean[Thin]",-0.528918510644274,0.0971616297449131,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"10","treat_mean[Thin]",-0.600278897199606,0.0935285848411068,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"11","treat_mean[Thin]",-0.746108913021325,0.0898523934363638,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"12","treat_mean[None]",-1.40840063533526,0.0672302222047693,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"13","treat_mean[Burn+Thin]",-1.00851649920061,0.13633287500845,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"14","treat_mean[Burn]",-1.9811896272223,0.0909244499321289,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"15","treat_mean[Burn+Thin]",-0.959882083787042,0.115977905309337,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"16","treat_mean[Burn]",-1.6311445441649,0.0907550628183771,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"17","treat_mean[Burn+Thin]",-0.887662590781656,0.114103188958957,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"18","treat_mean[Burn+Thin]",-0.93942947322509,0.115728075252104,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"19","treat_mean[Burn]",-1.85219834574085,0.0963983084409104,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"20","treat_mean[None]",-1.77657014934782,0.0775196998645239,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"21","treat_mean[Thin]",-0.469702470604504,0.13322545454947,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"22","treat_mean[Burn+Thin]",-1.02849290834628,0.117009126235809,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"23","treat_mean[Burn+Thin]",-0.897729830477129,0.125647899155033,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"24","treat_mean[Thin]",-0.640195698597684,0.10637284885379,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"2","treat_mean[Burn+Thin]",-1.07019673171667,0.280266439851949,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"3","treat_mean[Burn]",-1.90815149704114,0.251957344781412,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"4","treat_mean[Thin]",-0.0981824489108797,0.283235424708187,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"5","treat_mean[Thin]",-0.0723117947820793,0.314325462205993,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"7","treat_mean[None]",-1.30183144480952,0.182510968145096,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"8","treat_mean[Thin]",-0.0740497045398265,0.270363394263521,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"9","treat_mean[Thin]",-0.0370132094449186,0.302736696169683,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"10","treat_mean[Thin]",-0.030566101123803,0.293477896639136,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"11","treat_mean[Thin]",-0.194017088797933,0.305800958258605,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"12","treat_mean[None]",-1.18431162448339,0.129817307179078,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"13","treat_mean[Burn+Thin]",-0.930493531535135,0.281914683540011,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"14","treat_mean[Burn]",-1.72927684078568,0.223158712394661,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"15","treat_mean[Burn+Thin]",-0.88673173534325,0.248452391772569,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"16","treat_mean[Burn]",-1.74530471082207,0.225975587778482,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"17","treat_mean[Burn+Thin]",-1.01665949685771,0.243423810058976,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"18","treat_mean[Burn+Thin]",-0.854856085502599,0.250800704115325,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"19","treat_mean[Burn]",-1.90497639712746,0.224217890983698,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"20","treat_mean[None]",-1.39830214057432,0.116429423499178,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"21","treat_mean[Thin]",-0.0746566159312941,0.307556772984934,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"22","treat_mean[Burn+Thin]",-0.767537854004081,0.277809094975814,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"23","treat_mean[Burn+Thin]",-1.01383536001408,0.297274052026505,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"1","treat_mean[Burn+Thin]",-1.12808091477533,0.201502833643396,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"2","treat_mean[Burn+Thin]",-1.08670583642485,0.185705498376149,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"3","treat_mean[Burn]",-1.56336809631434,0.21030858206953,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"4","treat_mean[Thin]",-0.933097534451909,0.144323527257265,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"5","treat_mean[Thin]",-0.894546514621766,0.121760607900441,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"6","treat_mean[None]",-1.7916014436333,0.13558428299973,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"7","treat_mean[None]",-1.77607050961559,0.1393867580245,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"8","treat_mean[Thin]",-0.89992767672,0.118094479038377,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"9","treat_mean[Thin]",-0.875693802104894,0.135743159807622,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"10","treat_mean[Thin]",-0.925877189396368,0.118856434696966,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"11","treat_mean[Thin]",-0.92171879717162,0.124627301942258,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"12","treat_mean[None]",-1.66401035081946,0.152364708427935,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"13","treat_mean[Burn+Thin]",-1.00079672982354,0.17732936858599,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"14","treat_mean[Burn]",-1.4423920001522,0.224120479938995,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"15","treat_mean[Burn+Thin]",-1.0416154658002,0.174767161823287,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"16","treat_mean[Burn]",-1.56833290268666,0.215715405251254,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"17","treat_mean[Burn+Thin]",-1.05116679899627,0.190510731483176,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"18","treat_mean[Burn+Thin]",-1.08204354849819,0.206097465939653,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"19","treat_mean[Burn]",-1.60899501877627,0.201378902774943,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"20","treat_mean[None]",-1.7124473562383,0.125658690300123,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"21","treat_mean[Thin]",-0.942945799241753,0.120405041884891,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"22","treat_mean[Burn+Thin]",-1.18850444274687,0.209571869978857,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"23","treat_mean[Burn+Thin]",-1.17867647516726,0.206075354084208,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"24","treat_mean[Thin]",-0.897430088798258,0.132673279366937,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"bc1","treat_mean[Burn+Thin]",-1.05693869268166,0.0567984420627355,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bc2","treat_mean[Burn+Thin]",-1.27297475653709,0.0633960960747131,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bc3","treat_mean[Burn+Thin]",-1.31103567057602,0.0652120577129302,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bn1","treat_mean[Burn]",-1.83318682229093,0.0707102725196306,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bn2","treat_mean[Burn]",-1.79404835759394,0.0630312670273119,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bn3","treat_mean[Burn]",-1.6590201740136,0.0580389502509041,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bs1","treat_mean[Burn+Thin]",-0.973326393978526,0.0715429447036244,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bs2","treat_mean[Burn+Thin]",-0.941017247575153,0.0737363838341582,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bs3","treat_mean[Burn+Thin]",-1.37896031504429,0.0787343297099911,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"uc1","treat_mean[Thin]",-0.740133266327262,0.216575270681202,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"uc2","treat_mean[Thin]",-0.957744479251993,0.0785025881567867,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"uc3","treat_mean[Thin]",-1.03787386583361,0.0784824515192332,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
