PlotID,Latitude,Longitude,Site,UnitID,geometry
3,38.9052048,-120.6636276,Blodgett,240,
5,38.9051285,-120.6647797,Blodgett,240,
7,38.9051208,-120.6660385,Blodgett,240,
9,38.9050636,-120.6673203,Blodgett,240,
22,38.9044113,-120.6645203,Blodgett,240,
26,38.9061394,-120.6649399,Blodgett,240,
28,38.906105,-120.6674423,Blodgett,240,
101,38.9066811,-120.6649246,Blodgett,240,
102,38.906147,-120.6656342,Blodgett,240,
104,38.9061241,-120.6635437,Blodgett,240,
105,38.9061127,-120.6628494,Blodgett,240,
106,38.905674,-120.6667252,Blodgett,240,
107,38.9056664,-120.6660309,Blodgett,240,
109,38.9055939,-120.6649475,Blodgett,240,
110,38.9055862,-120.6642532,Blodgett,240,
112,38.905571,-120.6628647,Blodgett,240,
113,38.9051285,-120.6667328,Blodgett,240,
114,38.9051208,-120.6640854,Blodgett,240,
115,38.9045868,-120.666748,Blodgett,240,
118,38.9045753,-120.664093,Blodgett,240,
3,38.922554,-120.6620026,Blodgett,40,
5,38.9245949,-120.6619873,Blodgett,40,
7,38.9229012,-120.660553,Blodgett,40,
101,38.9240837,-120.6626968,Blodgett,40,
103,38.9240761,-120.6619949,Blodgett,40,
104,38.9240685,-120.6613007,Blodgett,40,
105,38.9234505,-120.6612396,Blodgett,40,
106,38.9228973,-120.6612473,Blodgett,40,
107,38.9234428,-120.6605453,Blodgett,40,
108,38.9223557,-120.6605606,Blodgett,40,
109,38.9239807,-120.6598358,Blodgett,40,
110,38.9234352,-120.6598434,Blodgett,40,
111,38.9228935,-120.6598587,Blodgett,40,
112,38.922348,-120.6598663,Blodgett,40,
113,38.9237022,-120.6592178,Blodgett,40,
114,38.9236908,-120.6585236,Blodgett,40,
115,38.9241066,-120.6580963,Blodgett,40,
116,38.924099,-120.6573944,Blodgett,40,
2,38.9234772,-120.6631317,Blodgett,40,
2,38.8965187,-120.6467133,Blodgett,400,
9,38.8964882,-120.6493301,Blodgett,400,
22,38.8953781,-120.6492233,Blodgett,400,
23,38.8973999,-120.6506805,Blodgett,400,
24,38.8974648,-120.648056,Blodgett,400,
101,38.8974037,-120.6513748,Blodgett,400,
102,38.896862,-120.6513824,Blodgett,400,
103,38.8968544,-120.6506882,Blodgett,400,
104,38.8973885,-120.6499786,Blodgett,400,
105,38.8968468,-120.6499939,Blodgett,400,
106,38.8964539,-120.650032,Blodgett,400,
108,38.8959465,-120.6493378,Blodgett,400,
109,38.8964806,-120.6486282,Blodgett,400,
110,38.8959389,-120.6486435,Blodgett,400,
112,38.8974724,-120.6487579,Blodgett,400,
116,38.8969116,-120.6473694,Blodgett,400,
118,38.8970604,-120.6467056,Blodgett,400,
119,38.8970528,-120.6460037,Blodgett,400,
120,38.8959732,-120.6467209,Blodgett,400,
121,38.8953667,-120.6485367,Blodgett,400,
6,38.898674,-120.6528778,Blodgett,340,
13,38.8986855,-120.6553879,Blodgett,340,
24,38.8978767,-120.6554031,Blodgett,340,
25,38.896801,-120.6552887,Blodgett,340,
26,38.8979416,-120.6540909,Blodgett,340,
103,38.8990936,-120.6576309,Blodgett,340,
104,38.899086,-120.656929,Blodgett,340,
108,38.8981476,-120.6560135,Blodgett,340,
109,38.8973427,-120.656105,Blodgett,340,
111,38.8973351,-120.6554108,Blodgett,340,
112,38.8986778,-120.6546936,Blodgett,340,
113,38.8981323,-120.6547012,Blodgett,340,
114,38.8984871,-120.6540833,Blodgett,340,
115,38.8973999,-120.6541061,Blodgett,340,
116,38.8984795,-120.653389,Blodgett,340,
117,38.897934,-120.6533966,Blodgett,340,
121,38.8981323,-120.6528854,Blodgett,340,
122,38.8992119,-120.6521683,Blodgett,340,
123,38.8986664,-120.6521835,Blodgett,340,
124,38.8981247,-120.6521912,Blodgett,340,
21,38.9175949,-120.66362,Blodgett,60,
27,38.9166336,-120.6634903,Blodgett,60,
101,38.9191742,-120.664505,Blodgett,60,
102,38.9191628,-120.6638107,Blodgett,60,
103,38.9191551,-120.6631088,Blodgett,60,
104,38.9186287,-120.6645126,Blodgett,60,
105,38.9186134,-120.6631241,Blodgett,60,
106,38.9180832,-120.6645203,Blodgett,60,
107,38.9180756,-120.663826,Blodgett,60,
108,38.9180679,-120.6631317,Blodgett,60,
109,38.9176064,-120.6643143,Blodgett,60,
111,38.9170609,-120.6643219,Blodgett,60,
112,38.9170532,-120.6636276,Blodgett,60,
113,38.9170456,-120.6629333,Blodgett,60,
114,38.9166412,-120.6641846,Blodgett,60,
115,38.9156075,-120.6639786,Blodgett,60,
116,38.9150734,-120.6646881,Blodgett,60,
117,38.915062,-120.6639862,Blodgett,60,
119,38.9145279,-120.6646957,Blodgett,60,
104,38.8855476,-120.6548767,Blodgett,490,
105,38.8850021,-120.6548843,Blodgett,490,
110,38.883419,-120.6542969,Blodgett,490,
115,38.8858757,-120.6538696,Blodgett,490,
117,38.8864098,-120.6531601,Blodgett,490,
120,38.8853149,-120.6524887,Blodgett,490,
122,38.8834991,-120.6531143,Blodgett,490,
124,38.884037,-120.6524048,Blodgett,490,
125,38.8834915,-120.65242,Blodgett,490,
126,38.8854828,-120.6518173,Blodgett,490,
103,38.8860893,-120.6548691,Blodgett,490,
5,38.8980408,-120.648613,Blodgett,350,
8,38.8991089,-120.6502228,Blodgett,350,
101,38.899662,-120.6509094,Blodgett,350,
102,38.8991165,-120.6509247,Blodgett,350,
103,38.8985634,-120.650238,Blodgett,350,
104,38.8991013,-120.6495285,Blodgett,350,
105,38.8985558,-120.6495438,Blodgett,350,
106,38.8980484,-120.6493073,Blodgett,350,
107,38.8996925,-120.6486893,Blodgett,350,
109,38.8985977,-120.6480179,Blodgett,350,
110,38.8980331,-120.6479187,Blodgett,350,
111,38.8985901,-120.647316,Blodgett,350,
112,38.8992424,-120.6467438,Blodgett,350,
113,38.8987007,-120.6467514,Blodgett,350,
115,38.8997803,-120.6460419,Blodgett,350,
116,38.8986931,-120.6460571,Blodgett,350,
117,38.8992271,-120.6453552,Blodgett,350,
119,38.8982353,-120.6452866,Blodgett,350,
4,38.8838806,-120.6555252,Blodgett,490,
8,38.886097,-120.6555634,Blodgett,490,
18,38.8852844,-120.6543427,Blodgett,490,
20,38.8839607,-120.6542816,Blodgett,490,
33,38.8840446,-120.6530991,Blodgett,490,
35,38.8858681,-120.6531754,Blodgett,490,
41,38.8849411,-120.6518326,Blodgett,490,
42,38.8838806,-120.6516953,Blodgett,490,
102,38.8866348,-120.6548538,Blodgett,490,
3,38.8992348,-120.6460495,Blodgett,350,
107,38.9074287,-120.6770706,Blodgett,190,
108,38.9074211,-120.6763382,Blodgett,190,
110,38.9068108,-120.6760712,Blodgett,190,
111,38.906868,-120.6749039,Blodgett,190,
112,38.9062805,-120.677475,Blodgett,190,
113,38.9062729,-120.6767731,Blodgett,190,
114,38.9062653,-120.6760788,Blodgett,190,
115,38.9063301,-120.6756134,Blodgett,190,
116,38.9063225,-120.6749191,Blodgett,190,
2,38.898243,-120.6459808,Blodgett,350,
106,38.9079742,-120.677063,Blodgett,190,
5,38.9089661,-120.6774673,Blodgett,190,
10,38.9079666,-120.6763611,Blodgett,190,
20,38.908905,-120.6751709,Blodgett,190,
24,38.9089127,-120.6764069,Blodgett,190,
25,38.9068184,-120.6767654,Blodgett,190,
26,38.9068756,-120.6755981,Blodgett,190,
27,38.9069595,-120.6741867,Blodgett,190,
101,38.908905,-120.675705,Blodgett,190,
102,38.908371,-120.6764145,Blodgett,190,
104,38.9083557,-120.6750183,Blodgett,190,
11,38.8708839,-120.6459351,Blodgett,570,
13,38.8703041,-120.6454468,Blodgett,570,
14,38.8695297,-120.6453476,Blodgett,570,
17,38.8712807,-120.6466217,Blodgett,570,
23,38.8722115,-120.6467819,Blodgett,570,
25,38.8713837,-120.6479111,Blodgett,570,
101,38.8732262,-120.6472778,Blodgett,570,
102,38.8726921,-120.6479797,Blodgett,570,
103,38.8726845,-120.6472855,Blodgett,570,
104,38.8722191,-120.6474762,Blodgett,570,
105,38.8722038,-120.64608,Blodgett,570,
106,38.8716736,-120.6474838,Blodgett,570,
107,38.871666,-120.6467896,Blodgett,570,
108,38.8716583,-120.6460953,Blodgett,570,
110,38.8712883,-120.647316,Blodgett,570,
111,38.871273,-120.6459274,Blodgett,570,
112,38.870842,-120.6479263,Blodgett,570,
113,38.8708344,-120.6472321,Blodgett,570,
115,38.8708916,-120.6466293,Blodgett,570,
119,38.8697662,-120.6461487,Blodgett,570,
2,38.9009056,-120.644043,Blodgett,380,
