UnitID,SDI_in,maxSDI,rSDI
1,261.8018237986128,593.0957337435806,0.44141579327529007
2,233.2452494094555,593.0957337435806,0.3932674543740639
3,251.4417796175281,593.0957337435806,0.4239480497194685
4,159.09139604549446,593.0957337435806,0.2682389823331222
5,186.3743523336049,593.0957337435806,0.3142399139464761
6,394.31767569347664,593.0957337435806,0.664846589275849
7,372.9607077000122,593.0957337435806,0.6288372795162582
8,246.98003045195344,593.0957337435806,0.4164252352533916
9,188.57158707452214,593.0957337435806,0.3179446021037294
10,208.32614345702336,593.0957337435806,0.351252136214305
11,221.4758483263094,593.0957337435806,0.3734234386215673
12,316.9725366949402,593.0957337435806,0.534437391235696
13,173.99288518044898,593.0957337435806,0.293363912908659
14,394.1426390938273,593.0957337435806,0.6645514655889114
15,182.80407154729755,593.0957337435806,0.3082201761820988
16,358.55891272286476,593.0957337435806,0.6045548674910624
17,199.63577925500832,593.0957337435806,0.3365995873801362
18,153.9637117185434,593.0957337435806,0.2595933556067496
19,426.09212447827196,593.0957337435806,0.7184204846472374
20,421.3912514920511,593.0957337435806,0.7104944910533375
21,225.8436138996517,593.0957337435806,0.3807877903186757
22,260.4440049702517,593.0957337435806,0.4391264177982643
23,203.69202918023666,593.0957337435806,0.343438702373639
24,225.71228429014957,593.0957337435806,0.3805663596085386
