UnitID,SDI_in,maxSDI,rSDI
10,246.9721976689367,625.5507943274059,0.39480758382615744
22,532.1824937369778,625.5507943274059,0.8507422555656443
23,533.5927999745286,625.5507943274059,0.8529967587176501
47,184.60888045409763,625.5507943274059,0.29511413322173086
64,252.83773504808158,625.5507943274059,0.4041841803109426
66,190.41737911368762,625.5507943274059,0.30439954811091713
87,373.592736960072,625.5507943274059,0.5972220646954178
88,206.855526399878,625.5507943274059,0.3306774258392392
99,111.08502548876204,625.5507943274059,0.17757954509225904
101,116.803436658571,625.5507943274059,0.18672094691232613
102,531.8025195118385,625.5507943274059,0.8501348321100513
119,218.27746868809635,625.5507943274059,0.3489364423600308
120,198.83938045338934,625.5507943274059,0.31786288540674307
122,358.8179027595663,625.5507943274059,0.5736031446421045
123,379.3244055213457,625.5507943274059,0.6063846596649222
124,225.11925168572108,625.5507943274059,0.3598736565074144
125,87.56486035107834,625.5507943274059,0.13998041589129198
126,316.4714410311583,625.5507943274059,0.5059084632310783
130,353.54170934571005,625.5507943274059,0.5651686682387466
150,120.91845330292932,625.5507943274059,0.19329917634097357
156,192.31830987656753,625.5507943274059,0.3074383593155673
159,368.0607239854812,625.5507943274059,0.5883786373914227
181,266.3297441303047,625.5507943274059,0.4257523874087047
190,387.8419829701129,625.5507943274059,0.6200007840883996
