UnitID,SDI_in,maxSDI,rSDI
bc1,138.34658139720463,600.6277644200202,0.23033664041620727
bc2,128.3748724769921,600.6277644200202,0.21373449594184807
bc3,137.98507142183348,600.6277644200202,0.22973475352920958
bn1,223.8956170950384,600.6277644200202,0.37276934294110947
bn2,224.34277344378575,600.6277644200202,0.37351382459053695
bn3,237.66344886867245,600.6277644200202,0.395691746115276
bs1,48.434814079373574,600.6277644200202,0.0806403182612501
bs2,82.76601077158264,600.6277644200202,0.1377991755867353
bs3,73.33133333112123,600.6277644200202,0.12209114808725441
uc1,205.90933245553222,600.6277644200202,0.34282353339819877
uc2,172.84707790328142,600.6277644200202,0.2877773691833685
uc3,177.10141701261773,600.6277644200202,0.2948605234452172
un1,256.0956297018261,600.6277644200202,0.4263799392442637
un2,231.96818429132546,600.6277644200202,0.3862095594520496
un3,270.41665418215695,600.6277644200202,0.4502233666192195
us1,101.52567133771025,600.6277644200202,0.16903259781163418
us2,117.33835867216693,600.6277644200202,0.19535953151528304
us3,114.6646221813906,600.6277644200202,0.19090796159267356
