UnitID,SDI_in,maxSDI,rSDI
40,385.6460571490057,552.0429043396671,0.6985798642051219
60,259.3522556416602,552.0429043396671,0.4698045271533515
180,198.95036258403871,552.0429043396671,0.360389312171335
190,271.78273502814767,552.0429043396671,0.4923217613914338
240,371.30207898010985,552.0429043396671,0.6725964160779268
340,286.3496888420501,552.0429043396671,0.518709119510504
350,245.04285667600567,552.0429043396671,0.4438837176416871
380,219.66675474214398,552.0429043396671,0.3979160913315263
400,304.146792900052,552.0429043396671,0.5509477442950941
490,253.79551148089396,552.0429043396671,0.45973874401025877
570,215.43600980028185,552.0429043396671,0.39025229399149386
590,362.7055388726439,552.0429043396671,0.6570241842099186
