UnitID,SDI_in,maxSDI,rSDI
MCK 13-3 C,467.40803496085084,644.2672959040328,0.7254877562968427
MCK 13-3 T,177.30064881445225,644.2672959040328,0.27519734424151515
TWC 3 C,446.0491478307205,644.2672959040328,0.6923355425093035
TWC 3 T,182.11745758006384,644.2672959040328,0.28267375782984216
WRD 20-16 C,391.64898117739097,644.2672959040328,0.6078982802127664
WRD 20-16 T,402.60463158236803,644.2672959040328,0.624903101774606
WRD 20-9 C,334.9616219747147,644.2672959040328,0.5199109501665735
WRD 20-9 T,172.68977202065895,644.2672959040328,0.26804056812839067
