UnitID,Species,Species_frac
40,ABCO,0.2804939198887234
40,ACMA,0.0
40,CADE,0.25230315753684873
40,CHCH,0.0
40,CONU,0.0
40,NODE,0.034514376905769494
40,PILA,0.027715500059298164
40,PIPO,0.07955651198649236
40,PSME,0.18681292139553018
40,QUKE,0.13860361222733764
60,ABCO,0.24028076884237842
60,ACMA,0.0
60,CADE,0.3414453095924539
60,CHCH,0.0
60,CONU,0.0
60,NODE,0.0
60,PILA,0.058644592774735015
60,PIPO,0.12382791544132754
60,PSME,0.13664994588510346
60,QUKE,0.0991514674640017
180,ABCO,0.21510329171781803
180,ACMA,0.0
180,CADE,0.15365096616123305
180,CHCH,0.0
180,CONU,0.0
180,NODE,0.0
180,PILA,0.20692275197965856
180,PIPO,0.20963000058860515
180,PSME,0.14785558944664212
180,QUKE,0.06683740010604311
190,ABCO,0.15695324644151093
190,ACMA,0.0
190,CADE,0.2936559197619561
190,CHCH,0.0
190,CONU,0.0
190,NODE,0.010172301044269198
190,PILA,0.03542444354637784
190,PIPO,0.10850174302703866
190,PSME,0.25858600399357473
190,QUKE,0.1367063421852725
240,ABCO,0.2783648040483427
240,ACMA,0.0
240,CADE,0.25654275828309525
240,CHCH,0.0
240,CONU,0.0
240,NODE,0.0031286723100309682
240,PILA,0.1094901474289395
240,PIPO,0.10005776952229353
240,PSME,0.1494410665002081
240,QUKE,0.10297478190709
340,ABCO,0.40212586041730136
340,ACMA,0.0
340,CADE,0.16480528623379864
340,CHCH,0.0
340,CONU,0.0007036355083774257
340,NODE,0.10711476664245081
340,PILA,0.0818303485312874
340,PIPO,0.02329203771939417
340,PSME,0.1592424129731405
340,QUKE,0.06088565197424969
350,ABCO,0.2972412021221482
350,ACMA,0.0
350,CADE,0.21090419527305887
350,CHCH,0.0
350,CONU,0.0
350,NODE,0.0
350,PILA,0.11959445217337936
350,PIPO,0.0552735963840509
350,PSME,0.19033430766448062
350,QUKE,0.12665224638288206
380,ABCO,0.19677119461855194
380,ACMA,0.0023302829619465683
380,CADE,0.09880209717396529
380,CHCH,0.0
380,CONU,0.0
380,NODE,0.0
380,PILA,0.22616560949988251
380,PIPO,0.16816063927125707
380,PSME,0.21145401259262248
380,QUKE,0.09631616388177415
400,ABCO,0.20085987958657822
400,ACMA,0.0
400,CADE,0.21136949789866488
400,CHCH,0.0
400,CONU,0.0
400,NODE,0.0
400,PILA,0.14303928818078937
400,PIPO,0.1522004395321626
400,PSME,0.29253089480180494
400,QUKE,0.0
490,ABCO,0.2833782839792671
490,ACMA,0.0
490,CADE,0.12084195454249487
490,CHCH,0.01498888190021357
490,CONU,0.0
490,NODE,0.0004821470683171973
490,PILA,0.25718806217284895
490,PIPO,0.005438404124733688
490,PSME,0.30281996711855425
490,QUKE,0.014862299093570359
570,ABCO,0.14410664221128794
570,ACMA,0.0
570,CADE,0.24663270642928298
570,CHCH,0.0
570,CONU,0.0
570,NODE,0.0
570,PILA,0.008949897710322242
570,PIPO,0.35081791275404844
570,PSME,0.03597614347992542
570,QUKE,0.213516697415133
590,ABCO,0.12230334151342157
590,ACMA,0.0
590,CADE,0.3392387152353229
590,CHCH,0.0
590,CONU,0.0
590,NODE,0.0
590,PILA,0.01420043231958641
590,PIPO,0.35944814450224855
590,PSME,0.11173758301167205
590,QUKE,0.0530717834177485
