"TreeID","1","2","3","4","5","6","7","8"
"MCK 13-3 C_71.0_95.0",56,60.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_143.0",21.8,21.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_145.0",43.6,47.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_147.0",34.6,36.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_148.0",49.3,53.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_151.0",49.5,51.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_154.0",60.9,60.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_155.0",43.8,45.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_157.0",19.7,20.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_158.0",48.5,51.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_159.0",28.4,29,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_161.0",57.2,59.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_163.0",49.5,53.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_166.0",22.8,33.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_167.0",23.2,23.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_168.0",43.7,45.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_169.0",40.6,41.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_170.0",30.6,31,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_172.0",41.5,45.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_175.0",41.8,44.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_176.0",27.3,27.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_178.0",48.8,52.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_179.0",41.7,44.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_180.0",29.4,29.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_181.0",84.6,91.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_182.0",48.8,49.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_183.0",47.9,49.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_185.0",51.2,52.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_186.0",32.8,32.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_187.0",60.8,61.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_188.0",37.2,37.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_189.0",36.2,38,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_190.0",22.8,22.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_192.0",50.4,52.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_193.0",25.4,25.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_194.0",23,21.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_196.0",38.5,39.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_197.0",32.9,33.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_200.0",20.9,20.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_504.0",52.8,55.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_505.0",45.2,48.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_507.0",39,42,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_509.0",29.5,31.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_510.0",35,36.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_511.0",28.7,28.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_512.0",59,60.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_516.0",79.2,81,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_517.0",54,57.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_521.0",43.5,46.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_522.0",22.5,22.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_523.0",32.6,34.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_525.0",25.4,25.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_526.0",41.4,44.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_528.0",47.2,50.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_532.0",52.2,54.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_536.0",55.2,58.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_538.0",41.8,45.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_539.0",49.2,51.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_541.0",38.8,40.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_542.0",40,42.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_544.0",33.8,35,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_545.0",24.6,25.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_546.0",16,15.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_548.0",29,29,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_549.0",38.4,39.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_551.0",45.7,48.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_555.0",26.2,27,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_72.0_556.0",28.5,29.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_101.0",24.8,27.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_106.0",53.3,54.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_107.0",21.9,21.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_108.0",61.3,62.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_109.0",40.2,43.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_110.0",40,46.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_73.0_111.0",39.7,41.8,NA,NA,NA,NA,NA,NA
