"PlotID","treatment","trt_yr_1","trt_yr_2","trt_yr_3"
"MCK 13-3 C","None",NA,NA,NA
"MCK 13-3 T","Thin",2009,NA,NA
"TWC 3 C","None",NA,NA,NA
"TWC 3 T","Thin",2008,NA,NA
"WRD 20-16 C","None",NA,NA,NA
"WRD 20-16 T","Thin",2008,NA,NA
"WRD 20-9 C","None",NA,NA,NA
"WRD 20-9 T","Thin",2008,NA,NA
