"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"MCK 13-3 C_71.0_132.0",NA,38.6,38.925,39.25,39.575,39.9,40.225,40.55,40.875,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_133.0",NA,46.8,47.1,47.4,47.7,48,48.3,48.6,48.9,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_134.0",NA,45.9,46.2875,46.675,47.0625,47.45,47.8375,48.225,48.6125,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_135.0",NA,45.5,45.975,46.45,46.925,47.4,47.875,48.35,48.825,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_137.0",NA,33.4,33.4875,33.575,33.6625,33.75,33.8375,33.925,34.0125,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_138.0",NA,32.1,32.275,32.45,32.625,32.8,32.975,33.15,33.325,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_139.0",NA,35.4,35.4875,35.575,35.6625,35.75,35.8375,35.925,36.0125,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_141.0",NA,55.6,56.05,56.5,56.95,57.4,57.85,58.3,58.75,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_142.0",NA,36.7,36.7875,36.875,36.9625,37.05,37.1375,37.225,37.3125,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_250.0",NA,52.4,52.675,52.95,53.225,53.5,53.775,54.05,54.325,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_253.0",NA,45.1,45.4875,45.875,46.2625,46.65,47.0375,47.425,47.8125,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_254.0",NA,23.7,23.7875,23.875,23.9625,24.05,24.1375,24.225,24.3125,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_255.0",NA,60.9,61.375,61.85,62.325,62.8,63.275,63.75,64.225,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_257.0",NA,44.2,44.55,44.9,45.25,45.6,45.95,46.3,46.65,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
