"PlotID","treatment","trt_yr_1","trt_yr_2","trt_yr_3"
"LOLOG","None",NA,NA,NA
"LOTHAR","Burn",2004,1990,NA
"UPLOG","None",NA,NA,NA
"UPTHAR","Burn",2004,1990,NA
