"TreeID","1","2","3","4","5","6","7","8"
"123_62.0",45.212,48.26,51.562,NA,NA,NA,NA,NA
"123_87.0",33.02,35.306,NA,NA,NA,NA,NA,NA
"124_26.0",20.32,22.352,24.13,NA,NA,NA,NA,NA
"124_277.0",50.546,53.594,56.642,NA,NA,NA,NA,NA
"124_453.0",70.104,73.406,76.454,NA,NA,NA,NA,NA
"124_468.0",71.882,76.708,75.946,NA,NA,NA,NA,NA
"124_51.0",79.756,82.042,84.074,NA,NA,NA,NA,NA
"124_52.0",71.628,74.168,75.438,NA,NA,NA,NA,NA
"124_57.0",87.122,92.456,97.536,NA,NA,NA,NA,NA
"124_62.0",97.536,100.076,102.362,NA,NA,NA,NA,NA
"124_63.0",17.018,19.05,NA,NA,NA,NA,NA,NA
"124_67.0",37.084,39.37,NA,NA,NA,NA,NA,NA
"124_88.0",73.914,75.184,76.962,NA,NA,NA,NA,NA
"124_89.0",72.898,74.168,75.692,NA,NA,NA,NA,NA
"125_45.0",34.29,36.322,39.116,NA,NA,NA,NA,NA
"125_46.0",30.734,33.782,35.56,NA,NA,NA,NA,NA
"125_47.0",44.704,48.768,51.308,NA,NA,NA,NA,NA
"125_51.0",71.12,75.946,79.502,NA,NA,NA,NA,NA
"126_185.0",43.942,48.768,NA,NA,NA,NA,NA,NA
"126_186.0",58.42,62.23,NA,NA,NA,NA,NA,NA
"126_187.0",32.258,34.036,NA,NA,NA,NA,NA,NA
"126_188.0",97.79,99.568,NA,NA,NA,NA,NA,NA
"126_29.0",25.654,29.718,NA,NA,NA,NA,NA,NA
"126_30.0",58.42,62.484,65.532,NA,NA,NA,NA,NA
"126_32.0",68.072,71.882,76.962,NA,NA,NA,NA,NA
"126_340.0",55.372,60.96,61.976,NA,NA,NA,NA,NA
"126_48.0",80.518,81.28,85.09,NA,NA,NA,NA,NA
"126_49.0",76.2,81.788,84.328,NA,NA,NA,NA,NA
"126_50.0",20.32,23.114,25.654,NA,NA,NA,NA,NA
"126_51.0",17.526,20.574,NA,NA,NA,NA,NA,NA
"126_52.0",19.304,23.622,27.94,NA,NA,NA,NA,NA
"126_53.0",38.354,40.894,44.45,NA,NA,NA,NA,NA
"126_54.0",50.8,53.848,57.912,NA,NA,NA,NA,NA
"126_55.0",33.528,35.814,38.608,NA,NA,NA,NA,NA
"130_158.0",35.56,38.354,40.64,NA,NA,NA,NA,NA
"130_176.0",56.896,58.166,59.436,NA,NA,NA,NA,NA
"130_177.0",15.24,17.272,18.796,NA,NA,NA,NA,NA
"130_270.0",82.55,86.36,87.376,NA,NA,NA,NA,NA
"130_34.0",85.09,88.138,90.932,NA,NA,NA,NA,NA
"130_59.0",113.792,113.284,115.062,NA,NA,NA,NA,NA
"130_60.0",96.52,99.314,101.6,NA,NA,NA,NA,NA
"130_64.0",117.348,119.634,121.666,NA,NA,NA,NA,NA
"130_65.0",110.49,112.014,114.046,NA,NA,NA,NA,NA
"130_66.0",109.982,112.014,114.554,NA,NA,NA,NA,NA
"130_67.0",98.552,103.378,105.664,NA,NA,NA,NA,NA
"130_68.0",64.77,68.326,70.612,NA,NA,NA,NA,NA
"130_69.0",101.6,103.378,105.41,NA,NA,NA,NA,NA
"130_71.0",80.01,83.312,85.344,NA,NA,NA,NA,NA
"130_72.0",37.338,39.624,40.894,NA,NA,NA,NA,NA
"130_73.0",119.888,126.746,129.286,NA,NA,NA,NA,NA
"130_74.0",141.478,143.002,145.542,NA,NA,NA,NA,NA
"130_75.0",113.284,114.808,116.332,NA,NA,NA,NA,NA
"150_77.0",83.82,87.122,90.678,NA,NA,NA,NA,NA
"150_78.0",42.418,45.212,48.26,NA,NA,NA,NA,NA
"150_79.0",35.052,37.592,39.878,NA,NA,NA,NA,NA
"150_80.0",68.834,70.866,72.898,NA,NA,NA,NA,NA
"150_83.0",47.498,51.054,53.594,NA,NA,NA,NA,NA
"150_84.0",56.134,59.182,62.23,NA,NA,NA,NA,NA
"156_1.0",53.848,55.88,NA,NA,NA,NA,NA,NA
"156_10.0",18.288,19.304,NA,NA,NA,NA,NA,NA
"156_15.0",51.054,52.578,NA,NA,NA,NA,NA,NA
"156_3.0",112.268,113.792,NA,NA,NA,NA,NA,NA
"156_560.0",64.516,67.31,NA,NA,NA,NA,NA,NA
"156_59.0",61.468,63.5,NA,NA,NA,NA,NA,NA
"156_7.0",84.074,85.598,NA,NA,NA,NA,NA,NA
"156_84.0",26.162,27.94,NA,NA,NA,NA,NA,NA
"159_111.0",55.626,56.896,NA,NA,NA,NA,NA,NA
"159_144.0",47.498,51.054,54.356,NA,NA,NA,NA,NA
"159_145.0",81.534,83.566,86.106,NA,NA,NA,NA,NA
"159_148.0",49.022,50.8,52.832,NA,NA,NA,NA,NA
"159_16.0",19.558,20.828,20.828,NA,NA,NA,NA,NA
"159_38.0",76.2,78.994,81.788,NA,NA,NA,NA,NA
"159_39.0",54.864,56.134,57.404,NA,NA,NA,NA,NA
"159_42.0",53.34,54.61,55.118,NA,NA,NA,NA,NA
"159_43.0",41.148,42.418,42.926,NA,NA,NA,NA,NA
"159_49.0",119.38,117.856,119.126,NA,NA,NA,NA,NA
"159_50.0",54.356,56.642,60.452,NA,NA,NA,NA,NA
"159_51.0",61.214,62.738,NA,NA,NA,NA,NA,NA
"159_53.0",49.022,52.832,56.896,NA,NA,NA,NA,NA
"159_7.0",24.892,25.4,26.162,NA,NA,NA,NA,NA
"159_859.0",54.356,58.166,57.15,NA,NA,NA,NA,NA
"159_860.0",31.242,34.036,36.068,NA,NA,NA,NA,NA
"159_861.0",36.576,38.354,39.878,NA,NA,NA,NA,NA
"159_97.0",41.148,42.926,45.212,NA,NA,NA,NA,NA
"181_124.0",94.234,94.742,NA,NA,NA,NA,NA,NA
"181_13.0",93.98,94.742,NA,NA,NA,NA,NA,NA
"181_17.0",87.376,89.408,NA,NA,NA,NA,NA,NA
"181_19.0",64.262,64.262,NA,NA,NA,NA,NA,NA
"181_30.0",80.518,82.296,NA,NA,NA,NA,NA,NA
"181_33.0",71.12,73.406,NA,NA,NA,NA,NA,NA
"181_39.0",88.646,93.726,NA,NA,NA,NA,NA,NA
"181_41.0",64.516,66.548,NA,NA,NA,NA,NA,NA
"181_427.0",98.552,101.6,NA,NA,NA,NA,NA,NA
"181_459.0",39.624,42.164,NA,NA,NA,NA,NA,NA
"181_460.0",35.56,39.116,NA,NA,NA,NA,NA,NA
"181_50.0",126.746,130.302,NA,NA,NA,NA,NA,NA
"181_74.0",105.41,106.426,NA,NA,NA,NA,NA,NA
"190_100.0",65.278,68.326,70.358,NA,NA,NA,NA,NA
"190_168.0",39.37,40.386,41.656,NA,NA,NA,NA,NA
"190_169.0",34.29,36.322,35.306,NA,NA,NA,NA,NA
"190_482.0",45.974,48.26,51.054,NA,NA,NA,NA,NA
"190_60.0",38.1,39.116,NA,NA,NA,NA,NA,NA
"190_61.0",42.418,42.164,NA,NA,NA,NA,NA,NA
"190_62.0",64.008,64.77,68.072,NA,NA,NA,NA,NA
"190_63.0",50.546,53.34,56.134,NA,NA,NA,NA,NA
"190_64.0",61.214,62.738,65.024,NA,NA,NA,NA,NA
"190_65.0",67.818,71.12,73.406,NA,NA,NA,NA,NA
"190_66.0",84.328,88.646,91.694,NA,NA,NA,NA,NA
"190_67.0",65.024,66.294,69.088,NA,NA,NA,NA,NA
"190_80.0",66.548,68.58,NA,NA,NA,NA,NA,NA
"190_81.0",29.21,29.464,NA,NA,NA,NA,NA,NA
"190_90.0",63.754,67.31,69.85,NA,NA,NA,NA,NA
"190_91.0",102.616,106.426,106.934,NA,NA,NA,NA,NA
"190_92.0",73.914,76.454,77.724,NA,NA,NA,NA,NA
"190_93.0",57.912,60.452,62.23,NA,NA,NA,NA,NA
"190_96.0",57.912,60.198,61.722,NA,NA,NA,NA,NA
"190_97.0",56.896,59.182,61.976,NA,NA,NA,NA,NA
"22_1.0",27.178,28.194,29.718,NA,NA,NA,NA,NA
"22_14.0",16.51,16.51,16.764,NA,NA,NA,NA,NA
"22_197.0",70.612,71.882,72.136,NA,NA,NA,NA,NA
"22_2.0",23.876,24.384,25.654,NA,NA,NA,NA,NA
"22_37.0",25.4,25.908,26.416,NA,NA,NA,NA,NA
"22_395.0",57.912,59.436,59.182,NA,NA,NA,NA,NA
"22_4.0",40.894,43.18,45.72,NA,NA,NA,NA,NA
"22_47.0",109.728,110.998,113.03,NA,NA,NA,NA,NA
"22_5.0",39.116,41.148,43.434,NA,NA,NA,NA,NA
"22_51.0",42.926,44.45,46.736,NA,NA,NA,NA,NA
"22_6.0",27.432,28.448,29.718,NA,NA,NA,NA,NA
"22_64.0",44.196,48.514,NA,NA,NA,NA,NA,NA
"22_65.0",17.018,17.526,NA,NA,NA,NA,NA,NA
"22_67.0",28.448,29.464,29.972,NA,NA,NA,NA,NA
"22_68.0",41.148,44.704,48.768,NA,NA,NA,NA,NA
"22_69.0",26.924,28.194,29.464,NA,NA,NA,NA,NA
"22_8.0",40.386,41.91,43.942,NA,NA,NA,NA,NA
"22_80.0",53.594,57.658,61.722,NA,NA,NA,NA,NA
"22_81.0",51.562,54.61,57.15,NA,NA,NA,NA,NA
"22_84.0",59.944,61.722,65.786,NA,NA,NA,NA,NA
"22_94.0",75.184,79.248,79.756,NA,NA,NA,NA,NA
"22_96.0",54.61,52.07,52.578,NA,NA,NA,NA,NA
"23_38.0",99.822,101.854,102.616,NA,NA,NA,NA,NA
"23_39.0",33.02,34.544,36.576,NA,NA,NA,NA,NA
"23_40.0",39.878,42.926,45.466,NA,NA,NA,NA,NA
"23_41.0",23.114,24.384,25.4,NA,NA,NA,NA,NA
"23_42.0",48.768,51.562,55.118,NA,NA,NA,NA,NA
"23_43.0",35.052,36.83,38.608,NA,NA,NA,NA,NA
"23_44.0",18.796,18.288,18.542,NA,NA,NA,NA,NA
"23_45.0",18.796,19.812,20.066,NA,NA,NA,NA,NA
"23_46.0",26.67,27.432,28.702,NA,NA,NA,NA,NA
"23_47.0",40.894,43.18,44.958,NA,NA,NA,NA,NA
"23_49.0",25.654,26.162,26.416,NA,NA,NA,NA,NA
"23_50.0",33.528,35.814,37.338,NA,NA,NA,NA,NA
