Site,UnitID,TotalDepth,AWC_50cm
Sequoia,FFS7CONTROL,191.83673469387756,0.10551020408163267
Sequoia,FFS5BURN,163.8421052631579,0.10221052631578946
Sequoia,FFS6BURN,190.0,0.10789473684210524
Sequoia,FFS2BURN,167.2520838595715,0.09701209740657148
TharpsCreek,LOTHAR,191.83673469387756,0.10551020408163268
TharpsCreek,UPTHAR,191.83673469387756,0.10551020408163267
TharpsCreek,LOLOG,191.83673469387756,0.10551020408163266
TharpsCreek,UPLOG,191.50659732456145,0.10485438263485271
WLakeTahoe,MCK 13-3 C,167.89838006188634,0.09814413292075774
WLakeTahoe,MCK 13-3 T,181.55174769557007,0.08890678682969853
WLakeTahoe,TWC 3 C,193.42529057677638,0.14891426306768935
WLakeTahoe,TWC 3 T,193.4933196210773,0.14882922676231314
WLakeTahoe,WRD 20-16 C,199.37,0.19900000000000004
WLakeTahoe,WRD 20-16 T,198.27,0.2032
WLakeTahoe,WRD 20-9 C,197.4829690449244,0.20316054060772068
WLakeTahoe,WRD 20-9 T,198.26999999999998,0.2032
LaTour,10,200.0,0.13
LaTour,22,142.125,0.07
LaTour,23,144.46170647168105,0.07242250346956133
LaTour,47,142.125,0.07
LaTour,64,160.0,0.18000000000000002
LaTour,66,142.125,0.07
LaTour,87,142.125,0.07
LaTour,88,142.125,0.07
LaTour,99,142.125,0.07
LaTour,101,142.125,0.07
LaTour,102,229.0,0.16
LaTour,119,200.0,0.13
LaTour,120,142.125,0.07
LaTour,122,142.125,0.07
LaTour,123,142.125,0.07
LaTour,124,142.125,0.07
LaTour,125,142.125,0.07
LaTour,126,142.125,0.07
LaTour,130,160.0,0.18
LaTour,150,101.66666666666666,0.10999999999999999
LaTour,156,101.66666666666667,0.10999999999999997
LaTour,159,142.125,0.10487500000000002
LaTour,181,101.66666666666667,0.10999999999999999
LaTour,190,104.44444444444444,0.06955555555555556
Blodgett,180,155.5205082051428,0.15306615449543423
Blodgett,190,160.46462778869176,0.1438658132007656
Blodgett,240,164.48856406605938,0.16
Blodgett,340,162.08916517826202,0.15603772694611623
Blodgett,350,158.99033312303195,0.13448393805565778
Blodgett,380,158.875,0.13374999999999998
Blodgett,40,169.2974852413234,0.16
Blodgett,400,163.70783814413758,0.16
Blodgett,490,167.6930382211241,0.15229187229197802
Blodgett,570,167.54190196629665,0.19667408276900317
Blodgett,590,158.67657293152595,0.13248728229152873
Blodgett,60,163.97895428986226,0.15999999999999998
Teakettle,BC1,152.0,0.075
Teakettle,BC2,151.85761915315777,0.049999999999999996
Teakettle,BC3,147.2945128248302,0.05
Teakettle,BN1,152.0,0.075
Teakettle,BN2,85.27448147458925,0.07053411883885047
Teakettle,BN3,121.98691463509569,0.0718490199091964
Teakettle,BS1,152.0,0.075
Teakettle,BS2,152.0,0.075
Teakettle,BS3,152.0,0.05
Teakettle,UC1,148.50764400834666,0.06334040716712032
Teakettle,UC2,146.11111940192927,0.07360924746320728
Teakettle,UC3,118.76993472638094,0.061749227418354175
Teakettle,UN1,152.0,0.07634397730558104
Teakettle,UN2,138.77939282193188,0.07361200974508471
Teakettle,UN3,130.83333333333334,0.05
Teakettle,US1,150.55190961992795,0.0748479695139032
Teakettle,US2,130.83333333333334,0.049999999999999996
Teakettle,US3,130.83333333333334,0.05
STEF,1,200.0,0.11
STEF,2,190.44817820609225,0.11
STEF,3,188.00000000000003,0.11000000000000003
STEF,4,158.07965319689546,0.1251112862641942
STEF,5,145.57142857142858,0.13142857142857142
STEF,6,145.57142857142858,0.13142857142857142
STEF,7,145.57142857142858,0.13142857142857142
STEF,8,145.57142857142858,0.13142857142857142
STEF,9,145.57142857142858,0.13142857142857142
STEF,10,145.57142857142858,0.13142857142857142
STEF,11,145.57142857142858,0.13142857142857142
STEF,12,145.57142857142858,0.13142857142857142
STEF,13,145.57142857142858,0.13142857142857142
STEF,14,145.57142857142858,0.13142857142857142
STEF,15,145.57142857142858,0.13142857142857142
STEF,16,145.57142857142858,0.13142857142857142
STEF,17,145.57142857142858,0.13142857142857142
STEF,18,145.57142857142858,0.13142857142857142
STEF,19,145.57142857142858,0.13142857142857142
STEF,20,145.57142857142858,0.13142857142857142
STEF,21,145.57142857142858,0.13142857142857142
STEF,22,145.57142857142858,0.13142857142857142
STEF,23,145.57142857142858,0.13142857142857142
STEF,24,123.28571428571429,0.12000000000000002
