"comppct.r","compname","majcompflag","mukey","cokey","ksat","cec","awc","total_depth","musym","muname","muacres"
4,"McCarthy","No",459921,26882415,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
3,"Guenoc","No",459921,26882416,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
8,"Cohasset","No",459921,26882417,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
85,"Aiken","Yes",459921,26882418,10.66,11.49,0.17,230,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
85,"Aiken","Yes",459922,26882419,9,22.5,0.16,229,"AaC","Aiken loam_8 to 15 percent slopes",6321
8,"Cohasset","No",459922,26882420,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
3,"Guenoc","No",459922,26882421,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
4,"McCarthy","No",459922,26882422,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
8,"Cohasset","No",459923,26882423,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
4,"McCarthy","No",459923,26882424,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
3,"Guenoc","No",459923,26882425,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
85,"Aiken","Yes",459923,26882426,10.66,11.49,0.17,230,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
85,"Aiken","Yes",459924,26882427,9,22.5,0.16,229,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
8,"Cohasset","No",459924,26882428,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
3,"Guenoc","No",459924,26882429,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
4,"McCarthy","No",459924,26882430,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
85,"Aiken","Yes",459925,26882431,9,22.5,0.16,229,"AbC","Aiken stony loam_8 to 15 percent slopes",6621
8,"Cohasset","No",459925,26882432,NA,NA,NA,NA,"AbC","Aiken stony loam_8 to 15 percent slopes",6621
3,"Guenoc","No",459925,26882433,NA,NA,NA,NA,"AbC","Aiken stony loam_8 to 15 percent slopes",6621
4,"McCarthy","No",459925,26882434,NA,NA,NA,NA,"AbC","Aiken stony loam_8 to 15 percent slopes",6621
85,"Aiken","Yes",459926,26882435,9,22.5,0.16,229,"AbD","Aiken stony loam_15 to 30 percent",11502
8,"Cohasset","No",459926,26882436,NA,NA,NA,NA,"AbD","Aiken stony loam_15 to 30 percent",11502
3,"Guenoc","No",459926,26882437,NA,NA,NA,NA,"AbD","Aiken stony loam_15 to 30 percent",11502
4,"McCarthy","No",459926,26882438,NA,NA,NA,NA,"AbD","Aiken stony loam_15 to 30 percent",11502
85,"Aiken","Yes",459927,26882439,9,22.5,0.16,229,"AcE","Aiken very stony loam_30 to 50 percent slopes",825
5,"Cohasset","No",459927,26882440,NA,NA,NA,NA,"AcE","Aiken very stony loam_30 to 50 percent slopes",825
5,"Guenoc","No",459927,26882441,NA,NA,NA,NA,"AcE","Aiken very stony loam_30 to 50 percent slopes",825
5,"McCarthy","No",459927,26882442,NA,NA,NA,NA,"AcE","Aiken very stony loam_30 to 50 percent slopes",825
85,"Anderson","Yes",459928,26882443,28,7.5,0.09,152,"Ad","Anderson gravelly sandy loam",4344
2,"Cobbly alluvial land","No",459928,26882444,NA,NA,NA,NA,"Ad","Anderson gravelly sandy loam",4344
5,"Honcut","No",459928,26882445,NA,NA,NA,NA,"Ad","Anderson gravelly sandy loam",4344
5,"Tujunga","No",459928,26882446,NA,NA,NA,NA,"Ad","Anderson gravelly sandy loam",4344
3,"Unnamed","No",459928,26882447,NA,NA,NA,NA,"Ad","Anderson gravelly sandy loam",4344
85,"Anderson","Yes",459929,26882448,28,7.5,0.09,152,"Ae","Anderson gravelly sandy loam_moderately deep",871
2,"Cobbly alluvial land","No",459929,26882449,NA,NA,NA,NA,"Ae","Anderson gravelly sandy loam_moderately deep",871
7,"Honcut","No",459929,26882450,NA,NA,NA,NA,"Ae","Anderson gravelly sandy loam_moderately deep",871
6,"Perkins","No",459929,26882451,NA,NA,NA,NA,"Ae","Anderson gravelly sandy loam_moderately deep",871
85,"Anita","Yes",459930,26882452,0.91,37.5,0.15,66,"AhB","Anita clay_0 to 8 percent slopes",63
10,"Unnamed","No",459930,26882453,NA,NA,NA,NA,"AhB","Anita clay_0 to 8 percent slopes",63
5,"Unnamed","No",459930,26882454,NA,NA,NA,NA,"AhB","Anita clay_0 to 8 percent slopes",63
85,"Anita","Yes",459931,26882455,0.91,37.5,0.12,66,"AkB","Anita very cobbly clay_0 to 8 percent slopes",365
1,"Unnamed","No",459931,26882456,NA,NA,NA,NA,"AkB","Anita very cobbly clay_0 to 8 percent slopes",365
5,"Unnamed","No",459931,26882457,NA,NA,NA,NA,"AkB","Anita very cobbly clay_0 to 8 percent slopes",365
3,"Guenoc","No",459931,26882458,NA,NA,NA,NA,"AkB","Anita very cobbly clay_0 to 8 percent slopes",365
6,"Toomes","No",459931,26882459,NA,NA,NA,NA,"AkB","Anita very cobbly clay_0 to 8 percent slopes",365
85,"Auberry","Yes",459932,26882460,17.74,10.2,0.14,79,"AlB","Auberry fine sandy loam_0 to 8 percent slopes",237
7,"Auburn","No",459932,26882461,NA,NA,NA,NA,"AlB","Auberry fine sandy loam_0 to 8 percent slopes",237
8,"Kanaka","No",459932,26882462,NA,NA,NA,NA,"AlB","Auberry fine sandy loam_0 to 8 percent slopes",237
85,"Auberry","Yes",459933,26882463,17.74,10.2,0.14,79,"AlD","Auberry fine sandy loam_8 to 30 percent slopes",854
4,"Unnamed","No",459933,26882464,NA,NA,NA,NA,"AlD","Auberry fine sandy loam_8 to 30 percent slopes",854
3,"Goulding","No",459933,26882465,NA,NA,NA,NA,"AlD","Auberry fine sandy loam_8 to 30 percent slopes",854
8,"Sierra","No",459933,26882466,NA,NA,NA,NA,"AlD","Auberry fine sandy loam_8 to 30 percent slopes",854
85,"Auberry","Yes",459934,26882467,17.74,10.2,0.14,79,"AlF","Auberry fine sandy loam_30 to 70 percent slopes",251
5,"Unnamed","No",459934,26882468,NA,NA,NA,NA,"AlF","Auberry fine sandy loam_30 to 70 percent slopes",251
5,"Goulding","No",459934,26882469,NA,NA,NA,NA,"AlF","Auberry fine sandy loam_30 to 70 percent slopes",251
5,"Sierra","No",459934,26882470,NA,NA,NA,NA,"AlF","Auberry fine sandy loam_30 to 70 percent slopes",251
85,"Auburn","Yes",459935,26882471,9,17.5,0.14,71,"AnB","Auburn loam_0 to 8 percent slopes",2744
10,"Unnamed","No",459935,26882472,NA,NA,NA,NA,"AnB","Auburn loam_0 to 8 percent slopes",2744
5,"Auberry","No",459935,26882473,NA,NA,NA,NA,"AnB","Auburn loam_0 to 8 percent slopes",2744
85,"Auburn","Yes",459936,26882474,9,16,0.14,71,"AnD","Auburn loam_8 to 30 percent slopes",2455
5,"Auberry","No",459936,26882475,NA,NA,NA,NA,"AnD","Auburn loam_8 to 30 percent slopes",2455
10,"Tailings and placer diggings","No",459936,26882476,NA,NA,NA,NA,"AnD","Auburn loam_8 to 30 percent slopes",2455
85,"Auburn","Yes",459937,26882477,9,17.5,0.13,61,"ArD","Auburn very stony loam_8 to 30 percent slopes",4513
10,"Unnamed","No",459937,26882478,NA,NA,NA,NA,"ArD","Auburn very stony loam_8 to 30 percent slopes",4513
5,"Tailings and placer diggings","No",459937,26882479,NA,NA,NA,NA,"ArD","Auburn very stony loam_8 to 30 percent slopes",4513
85,"Auburn","Yes",459938,26882480,9,23.7,0.14,79,"AsD2","Auburn clay loam_8 to 30 percent slopes_eroded",7631
4,"Boomer","No",459938,26882481,NA,NA,NA,NA,"AsD2","Auburn clay loam_8 to 30 percent slopes_eroded",7631
4,"Goulding","No",459938,26882482,NA,NA,NA,NA,"AsD2","Auburn clay loam_8 to 30 percent slopes_eroded",7631
3,"Maymen","No",459938,26882483,NA,NA,NA,NA,"AsD2","Auburn clay loam_8 to 30 percent slopes_eroded",7631
4,"Tailings and placer diggings","No",459938,26882484,NA,NA,NA,NA,"AsD2","Auburn clay loam_8 to 30 percent slopes_eroded",7631
85,"Auburn","Yes",459939,26882485,9,23.7,0.13,79,"AtE2","Auburn very stony clay loam_30 to 50 percent slopes_eroded",7456
8,"Stonyford","No",459939,26882486,NA,NA,NA,NA,"AtE2","Auburn very stony clay loam_30 to 50 percent slopes_eroded",7456
7,"Unnamed","No",459939,26882487,NA,NA,NA,NA,"AtE2","Auburn very stony clay loam_30 to 50 percent slopes_eroded",7456
75,"Auburn","Yes",459940,26882488,9,25,0.14,61,"AuF2","Auburn very rocky clay loam_50 to 70 percent slopes_eroded",4631
5,"Stonyford","No",459940,26882489,NA,NA,NA,NA,"AuF2","Auburn very rocky clay loam_50 to 70 percent slopes_eroded",4631
5,"Unnamed","No",459940,26882490,NA,NA,NA,NA,"AuF2","Auburn very rocky clay loam_50 to 70 percent slopes_eroded",4631
15,"Rock outcrop","Yes",459940,26882491,71,NA,0,10,"AuF2","Auburn very rocky clay loam_50 to 70 percent slopes_eroded",4631
85,"Behemotosh","Yes",459941,26882492,7.87,12.5,0.12,71,"BeD","Behemotosh very stony loam_8 to 30 percent slopes",719
8,"Kidd","No",459941,26882493,NA,NA,NA,NA,"BeD","Behemotosh very stony loam_8 to 30 percent slopes",719
4,"Boomer","No",459941,26882494,NA,NA,NA,NA,"BeD","Behemotosh very stony loam_8 to 30 percent slopes",719
3,"Neuns","No",459941,26882495,NA,NA,NA,NA,"BeD","Behemotosh very stony loam_8 to 30 percent slopes",719
85,"Behemotosh","Yes",459942,26882496,7.87,12.5,0.12,71,"BeE2","Behemotosh very stony loam_30 to 50 percent slopes_eroded",1648
4,"Boomer","No",459942,26882497,NA,NA,NA,NA,"BeE2","Behemotosh very stony loam_30 to 50 percent slopes_eroded",1648
8,"Kidd","No",459942,26882498,NA,NA,NA,NA,"BeE2","Behemotosh very stony loam_30 to 50 percent slopes_eroded",1648
3,"Neuns","No",459942,26882499,NA,NA,NA,NA,"BeE2","Behemotosh very stony loam_30 to 50 percent slopes_eroded",1648
65,"Behemotosh","Yes",459943,26882500,7.87,12.5,0.12,71,"BhF2","Behemotosh very rocky loam_50 to 70 percent slopes_eroded",4901
5,"Boomer","No",459943,26882501,NA,NA,NA,NA,"BhF2","Behemotosh very rocky loam_50 to 70 percent slopes_eroded",4901
10,"Kidd","No",459943,26882502,NA,NA,NA,NA,"BhF2","Behemotosh very rocky loam_50 to 70 percent slopes_eroded",4901
5,"Neuns","No",459943,26882503,NA,NA,NA,NA,"BhF2","Behemotosh very rocky loam_50 to 70 percent slopes_eroded",4901
15,"Rock outcrop","Yes",459943,26882504,71,NA,0,10,"BhF2","Behemotosh very rocky loam_50 to 70 percent slopes_eroded",4901
85,"Boomer","Yes",459944,26882505,3.71,25.9,0.14,124,"BkC","Boomer gravelly loam_0 to 15 percent slopes",1027
5,"Goulding","No",459944,26882506,NA,NA,NA,NA,"BkC","Boomer gravelly loam_0 to 15 percent slopes",1027
5,"Neuns","No",459944,26882507,NA,NA,NA,NA,"BkC","Boomer gravelly loam_0 to 15 percent slopes",1027
5,"Stonyford","No",459944,26882508,NA,NA,NA,NA,"BkC","Boomer gravelly loam_0 to 15 percent slopes",1027
85,"Boomer","Yes",459945,26882509,3.71,25.9,0.14,124,"BkD","Boomer gravelly loam_15 to 30 percent slopes",2547
5,"Goulding","No",459945,26882510,NA,NA,NA,NA,"BkD","Boomer gravelly loam_15 to 30 percent slopes",2547
5,"Neuns","No",459945,26882511,NA,NA,NA,NA,"BkD","Boomer gravelly loam_15 to 30 percent slopes",2547
5,"Stonyford","No",459945,26882512,NA,NA,NA,NA,"BkD","Boomer gravelly loam_15 to 30 percent slopes",2547
5,"Goulding","No",459946,26882513,NA,NA,NA,NA,"BkE","Boomer gravelly loam_13 to 52 percent slopes_MLRA 15",4746
5,"Neuns","No",459946,26882514,NA,NA,NA,NA,"BkE","Boomer gravelly loam_13 to 52 percent slopes_MLRA 15",4746
5,"Stonyford","No",459946,26882515,NA,NA,NA,NA,"BkE","Boomer gravelly loam_13 to 52 percent slopes_MLRA 15",4746
85,"Boomer","Yes",459946,26882516,12.62,19.17,0.14,188,"BkE","Boomer gravelly loam_13 to 52 percent slopes_MLRA 15",4746
85,"Boomer","Yes",459947,26882517,3.71,15,0.14,124,"BlF","Boomer very stony loam_50 to 70 percent slopes",3239
5,"Goulding","No",459947,26882518,NA,NA,NA,NA,"BlF","Boomer very stony loam_50 to 70 percent slopes",3239
5,"Neuns","No",459947,26882519,NA,NA,NA,NA,"BlF","Boomer very stony loam_50 to 70 percent slopes",3239
5,"Stonyford","No",459947,26882520,NA,NA,NA,NA,"BlF","Boomer very stony loam_50 to 70 percent slopes",3239
85,"Boomer","Yes",459948,26882521,2.7,26.9,0.14,86,"BoE3","Boomer very stony clay loam_30 to 50 percent slopes_severely eroded",1374
5,"Goulding","No",459948,26882522,NA,NA,NA,NA,"BoE3","Boomer very stony clay loam_30 to 50 percent slopes_severely eroded",1374
5,"Neuns","No",459948,26882523,NA,NA,NA,NA,"BoE3","Boomer very stony clay loam_30 to 50 percent slopes_severely eroded",1374
5,"Stonyford","No",459948,26882524,NA,NA,NA,NA,"BoE3","Boomer very stony clay loam_30 to 50 percent slopes_severely eroded",1374
85,"Boomer","Yes",459949,26882525,2.7,26.9,0.14,102,"BoF3","Boomer very stony clay loam_50 to 70 percent slopes_severely eroded",600
5,"Goulding","No",459949,26882526,NA,NA,NA,NA,"BoF3","Boomer very stony clay loam_50 to 70 percent slopes_severely eroded",600
5,"Neuns","No",459949,26882527,NA,NA,NA,NA,"BoF3","Boomer very stony clay loam_50 to 70 percent slopes_severely eroded",600
5,"Stonyford","No",459949,26882528,NA,NA,NA,NA,"BoF3","Boomer very stony clay loam_50 to 70 percent slopes_severely eroded",600
85,"Chaix","Yes",459950,26882529,28,12.5,0.12,76,"CaE3","Chaix coarse sandy loam_30 to 50 percent slopes_severely eroded",4305
6,"Holland","No",459950,26882530,NA,NA,NA,NA,"CaE3","Chaix coarse sandy loam_30 to 50 percent slopes_severely eroded",4305
6,"Kanaka","No",459950,26882531,NA,NA,NA,NA,"CaE3","Chaix coarse sandy loam_30 to 50 percent slopes_severely eroded",4305
3,"Sierra","No",459950,26882532,NA,NA,NA,NA,"CaE3","Chaix coarse sandy loam_30 to 50 percent slopes_severely eroded",4305
85,"Chaix","Yes",459951,26882533,28,12.5,0.12,76,"CaF3","Chaix coarse sandy loam_50 to 70 percent slopes_severely eroded",10100
6,"Holland","No",459951,26882534,NA,NA,NA,NA,"CaF3","Chaix coarse sandy loam_50 to 70 percent slopes_severely eroded",10100
6,"Kanaka","No",459951,26882535,NA,NA,NA,NA,"CaF3","Chaix coarse sandy loam_50 to 70 percent slopes_severely eroded",10100
3,"Sierra","No",459951,26882536,NA,NA,NA,NA,"CaF3","Chaix coarse sandy loam_50 to 70 percent slopes_severely eroded",10100
85,"Chaix","Yes",459952,26882537,28,12.5,0.12,76,"CbD2","Chaix sandy loam_5 to 30 percent slopes_eroded",1445
6,"Holland","No",459952,26882538,NA,NA,NA,NA,"CbD2","Chaix sandy loam_5 to 30 percent slopes_eroded",1445
6,"Kanaka","No",459952,26882539,NA,NA,NA,NA,"CbD2","Chaix sandy loam_5 to 30 percent slopes_eroded",1445
3,"Sierra","No",459952,26882540,NA,NA,NA,NA,"CbD2","Chaix sandy loam_5 to 30 percent slopes_eroded",1445
85,"Chaix","Yes",459953,26882541,28,12.5,0.12,76,"CbE","Chaix sandy loam_30 to 50 percent slopes",4332
6,"Holland","No",459953,26882542,NA,NA,NA,NA,"CbE","Chaix sandy loam_30 to 50 percent slopes",4332
6,"Kanaka","No",459953,26882543,NA,NA,NA,NA,"CbE","Chaix sandy loam_30 to 50 percent slopes",4332
3,"Sierra","No",459953,26882544,NA,NA,NA,NA,"CbE","Chaix sandy loam_30 to 50 percent slopes",4332
85,"Chaix","Yes",459954,26882545,28,12.5,0.12,76,"CbF","Chaix sandy loam_50 to 70 percent",13189
6,"Holland","No",459954,26882546,NA,NA,NA,NA,"CbF","Chaix sandy loam_50 to 70 percent",13189
6,"Kanaka","No",459954,26882547,NA,NA,NA,NA,"CbF","Chaix sandy loam_50 to 70 percent",13189
3,"Sierra","No",459954,26882548,NA,NA,NA,NA,"CbF","Chaix sandy loam_50 to 70 percent",13189
85,"Churn","Yes",459955,26882549,6.86,16.7,0.16,152,"CcA","Churn loam_0 to 3 percent",1719
5,"Honcut","No",459955,26882550,NA,NA,NA,NA,"CcA","Churn loam_0 to 3 percent",1719
5,"Perkins","No",459955,26882551,NA,NA,NA,NA,"CcA","Churn loam_0 to 3 percent",1719
5,"Tehama","No",459955,26882552,NA,NA,NA,NA,"CcA","Churn loam_0 to 3 percent",1719
85,"Churn","Yes",459956,26882553,6.86,16.7,0.16,152,"CcB","Churn loam_3 to 8 percent slopes",173
1,"Cobbly alluvial land","No",459956,26882554,NA,NA,NA,NA,"CcB","Churn loam_3 to 8 percent slopes",173
5,"Honcut","No",459956,26882555,NA,NA,NA,NA,"CcB","Churn loam_3 to 8 percent slopes",173
5,"Perkins","No",459956,26882556,NA,NA,NA,NA,"CcB","Churn loam_3 to 8 percent slopes",173
4,"Tehama","No",459956,26882557,NA,NA,NA,NA,"CcB","Churn loam_3 to 8 percent slopes",173
85,"Churn","Yes",459957,26882558,6.86,16.7,0.16,152,"CdA","Churn loam_slightly wet_0 to 3 percent slopes",1217
5,"Cobbly alluvial land","No",459957,26882559,NA,NA,NA,NA,"CdA","Churn loam_slightly wet_0 to 3 percent slopes",1217
4,"Honcut","No",459957,26882560,NA,NA,NA,NA,"CdA","Churn loam_slightly wet_0 to 3 percent slopes",1217
3,"Perkins","No",459957,26882561,NA,NA,NA,NA,"CdA","Churn loam_slightly wet_0 to 3 percent slopes",1217
3,"Tehama","No",459957,26882562,NA,NA,NA,NA,"CdA","Churn loam_slightly wet_0 to 3 percent slopes",1217
85,"Churn","Yes",459958,26882563,6.86,16.7,0.13,152,"CeA","Churn gravelly loam_0 to 3 percent slopes",8567
5,"Cobbly alluvial land","No",459958,26882564,NA,NA,NA,NA,"CeA","Churn gravelly loam_0 to 3 percent slopes",8567
4,"Honcut","No",459958,26882565,NA,NA,NA,NA,"CeA","Churn gravelly loam_0 to 3 percent slopes",8567
3,"Perkins","No",459958,26882566,NA,NA,NA,NA,"CeA","Churn gravelly loam_0 to 3 percent slopes",8567
3,"Tehama","No",459958,26882567,NA,NA,NA,NA,"CeA","Churn gravelly loam_0 to 3 percent slopes",8567
85,"Churn","Yes",459959,26882568,6.86,16.7,0.13,152,"CeB","Churn gravelly loam_3 to 8 percent slopes",1800
5,"Cobbly alluvial land","No",459959,26882569,NA,NA,NA,NA,"CeB","Churn gravelly loam_3 to 8 percent slopes",1800
4,"Honcut","No",459959,26882570,NA,NA,NA,NA,"CeB","Churn gravelly loam_3 to 8 percent slopes",1800
3,"Perkins","No",459959,26882571,NA,NA,NA,NA,"CeB","Churn gravelly loam_3 to 8 percent slopes",1800
3,"Tehama","No",459959,26882572,NA,NA,NA,NA,"CeB","Churn gravelly loam_3 to 8 percent slopes",1800
85,"Churn","Yes",459960,26882573,6.86,16.7,0.13,152,"CfA","Churn gravelly loam_deep_0 to 3 percent slopes",6356
5,"Cobbly alluvial land","No",459960,26882574,NA,NA,NA,NA,"CfA","Churn gravelly loam_deep_0 to 3 percent slopes",6356
4,"Honcut","No",459960,26882575,NA,NA,NA,NA,"CfA","Churn gravelly loam_deep_0 to 3 percent slopes",6356
3,"Perkins","No",459960,26882576,NA,NA,NA,NA,"CfA","Churn gravelly loam_deep_0 to 3 percent slopes",6356
3,"Tehama","No",459960,26882577,NA,NA,NA,NA,"CfA","Churn gravelly loam_deep_0 to 3 percent slopes",6356
85,"Churn","Yes",459961,26882578,6.86,16.7,0.13,152,"CfB","Churn gravelly loam_deep_3 to 8 percent slopes",1111
5,"Cobbly alluvial land","No",459961,26882579,NA,NA,NA,NA,"CfB","Churn gravelly loam_deep_3 to 8 percent slopes",1111
4,"Honcut","No",459961,26882580,NA,NA,NA,NA,"CfB","Churn gravelly loam_deep_3 to 8 percent slopes",1111
3,"Perkins","No",459961,26882581,NA,NA,NA,NA,"CfB","Churn gravelly loam_deep_3 to 8 percent slopes",1111
3,"Tehama","No",459961,26882582,NA,NA,NA,NA,"CfB","Churn gravelly loam_deep_3 to 8 percent slopes",1111
85,"Clough","Yes",459962,26882583,8.3,15,0.13,152,"CgB","Clough gravelly loam_3 to 8 percent slopes",2843
8,"Newtown","No",459962,26882584,NA,NA,NA,NA,"CgB","Clough gravelly loam_3 to 8 percent slopes",2843
7,"Red Bluff","No",459962,26882585,NA,NA,NA,NA,"CgB","Clough gravelly loam_3 to 8 percent slopes",2843
90,"Cobbly alluvial land","Yes",459963,26882586,92,NA,0.04,152,"Ch","Cobbly alluvial land",2167
10,"Cobbly alluvial land","No",459963,26882587,NA,NA,NA,NA,"Ch","Cobbly alluvial land",2167
90,"Cobbly alluvial land","Yes",459965,26882588,92,NA,0.04,152,"Ck","Cobbly alluvial land_frequently flooded",4144
10,"Unnamed","No",459965,26882589,NA,NA,NA,NA,"Ck","Cobbly alluvial land_frequently flooded",4144
85,"Cohasset","Yes",459966,26882590,9,24.4,0.16,183,"ClD","Cohasset loam_0 to 30 percent slopes",19864
6,"Aiken","No",459966,26882591,NA,NA,NA,NA,"ClD","Cohasset loam_0 to 30 percent slopes",19864
3,"Lyonsville","No",459966,26882592,NA,NA,NA,NA,"ClD","Cohasset loam_0 to 30 percent slopes",19864
4,"McCarthy","No",459966,26882593,NA,NA,NA,NA,"ClD","Cohasset loam_0 to 30 percent slopes",19864
2,"Nanny","No",459966,26882594,NA,NA,NA,NA,"ClD","Cohasset loam_0 to 30 percent slopes",19864
85,"Cohasset","Yes",459967,26882595,9,25,0.13,200,"CmD","Cohasset stony loam_0 to 30 percent slopes",52088
6,"Aiken","No",459967,26882596,NA,NA,NA,NA,"CmD","Cohasset stony loam_0 to 30 percent slopes",52088
3,"Lyonsville","No",459967,26882597,NA,NA,NA,NA,"CmD","Cohasset stony loam_0 to 30 percent slopes",52088
4,"McCarthy","No",459967,26882598,NA,NA,NA,NA,"CmD","Cohasset stony loam_0 to 30 percent slopes",52088
2,"Nanny","No",459967,26882599,NA,NA,NA,NA,"CmD","Cohasset stony loam_0 to 30 percent slopes",52088
1,"Nanny","No",459968,26882600,NA,NA,NA,NA,"CmE","Cohasset stony loam_10 to 50 percent slopes_MLRA 22B",24822
5,"Aiken","No",459968,26882601,NA,NA,NA,NA,"CmE","Cohasset stony loam_10 to 50 percent slopes_MLRA 22B",24822
5,"McCarthy","No",459968,26882602,NA,NA,NA,NA,"CmE","Cohasset stony loam_10 to 50 percent slopes_MLRA 22B",24822
4,"Lyonsville","No",459968,26882603,NA,NA,NA,NA,"CmE","Cohasset stony loam_10 to 50 percent slopes_MLRA 22B",24822
85,"Cohasset","Yes",459968,26882604,19.61,16.17,0.18,160,"CmE","Cohasset stony loam_10 to 50 percent slopes_MLRA 22B",24822
85,"Cohasset","Yes",459969,26882605,9,25,0.11,150,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
4,"Unnamed","No",459969,26882606,NA,NA,NA,NA,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
1,"Aiken","No",459969,26882607,NA,NA,NA,NA,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
1,"Lyonsville","No",459969,26882608,NA,NA,NA,NA,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
6,"McCarthy","No",459969,26882609,NA,NA,NA,NA,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
3,"Nanny","No",459969,26882610,NA,NA,NA,NA,"CnF","Cohasset very stony loam_50 to 70 percent slopes",1485
85,"Cohasset","Yes",459970,26882611,9,23.65,0.12,102,"CoE","Cohasset very stony loam_moderaterately deep_8 to 50 percent slopes",4052
5,"Aiken","No",459970,26882612,NA,NA,NA,NA,"CoE","Cohasset very stony loam_moderaterately deep_8 to 50 percent slopes",4052
5,"Lyonsville","No",459970,26882613,NA,NA,NA,NA,"CoE","Cohasset very stony loam_moderaterately deep_8 to 50 percent slopes",4052
5,"McCarthy","No",459970,26882614,NA,NA,NA,NA,"CoE","Cohasset very stony loam_moderaterately deep_8 to 50 percent slopes",4052
60,"Cohasset","Yes",459971,26882615,9,25,0.13,163,"CpD","Cohasset-Aiken stony loams_0 to 30 percent slopes",3166
40,"Aiken","Yes",459971,26882616,9,22.5,0.16,152,"CpD","Cohasset-Aiken stony loams_0 to 30 percent slopes",3166
60,"Cohasset","Yes",459972,26882617,9,25,0.13,163,"CrD","Cohasset-McCarthy complex_0 to 30 percent slopes",2004
40,"McCarthy","Yes",459972,26882618,28,25,0.08,122,"CrD","Cohasset-McCarthy complex_0 to 30 percent slopes",2004
60,"Cohasset","Yes",459973,26882619,9,25,0.13,163,"CrE","Cohasset-McCarthy complex_30 to 50 percent slopes",2228
40,"McCarthy","Yes",459973,26882620,28,25,0.08,122,"CrE","Cohasset-McCarthy complex_30 to 50 percent slopes",2228
60,"Cohasset","Yes",459974,26882621,9,25,0.11,150,"CrG","Cohasset-McCarthy complex_50 to 70 percent slopes",953
40,"McCarthy","Yes",459974,26882622,28,25,0.07,122,"CrG","Cohasset-McCarthy complex_50 to 70 percent slopes",953
90,"Colluvial land","Yes",459975,26882623,28,NA,0.02,152,"CsF","Colluvial land",17198
10,"Unnamed","No",459975,26882624,NA,NA,NA,NA,"CsF","Colluvial land",17198
85,"Cone","Yes",459976,26882625,92,25,0.08,157,"CtC","Cone gravelly loam_3 to 15 percent slopes",1360
10,"Cohasset","No",459976,26882626,NA,NA,NA,NA,"CtC","Cone gravelly loam_3 to 15 percent slopes",1360
3,"Guenoc","No",459976,26882627,NA,NA,NA,NA,"CtC","Cone gravelly loam_3 to 15 percent slopes",1360
2,"Toomes","No",459976,26882628,NA,NA,NA,NA,"CtC","Cone gravelly loam_3 to 15 percent slopes",1360
85,"Cone","Yes",459977,26882629,92,25,0.08,157,"CtD","Cone gravelly loam_15 to 30 percent slopes",122
10,"Cohasset","No",459977,26882630,NA,NA,NA,NA,"CtD","Cone gravelly loam_15 to 30 percent slopes",122
3,"Guenoc","No",459977,26882631,NA,NA,NA,NA,"CtD","Cone gravelly loam_15 to 30 percent slopes",122
2,"Toomes","No",459977,26882632,NA,NA,NA,NA,"CtD","Cone gravelly loam_15 to 30 percent slopes",122
85,"Cone","Yes",459978,26882633,92,25,0.07,157,"CuD","Cone stony loam_3 to 30 percent slopes",839
10,"Cohasset","No",459978,26882634,NA,NA,NA,NA,"CuD","Cone stony loam_3 to 30 percent slopes",839
3,"Guenoc","No",459978,26882635,NA,NA,NA,NA,"CuD","Cone stony loam_3 to 30 percent slopes",839
2,"Toomes","No",459978,26882636,NA,NA,NA,NA,"CuD","Cone stony loam_3 to 30 percent slopes",839
85,"Cone","Yes",459979,26882637,92,25,0.07,157,"CvE","Cone very stony loam_30 to 50 percent slopes",524
5,"Cohasset","No",459979,26882638,NA,NA,NA,NA,"CvE","Cone very stony loam_30 to 50 percent slopes",524
5,"Guenoc","No",459979,26882639,NA,NA,NA,NA,"CvE","Cone very stony loam_30 to 50 percent slopes",524
5,"Toomes","No",459979,26882640,NA,NA,NA,NA,"CvE","Cone very stony loam_30 to 50 percent slopes",524
85,"Cone","Yes",459980,26882641,92,25,0.07,157,"CwF","Cone very stony loam_moderately deep_15 to 60 percent slopes",775
