"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS2BURN_5249",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5252",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_5256",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5257",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5259",1,10,"FFS2BURN",3,"fir"
"FFS2BURN_5260",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5261",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_5262",1,11,"FFS2BURN",3,"fir"
"FFS2BURN_5263",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_5264",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5269",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5271",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5275",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5276",1,15,"FFS2BURN",4,"white_pine"
"FFS2BURN_5286",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5289",1,15,"FFS2BURN",3,"white_pine"
"FFS2BURN_5290",11,16,"FFS2BURN",2,"fir"
"FFS2BURN_5292",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5298",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5299",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5308",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5310",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5311",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5319",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5320",1,5,"FFS2BURN",2,"fir"
"FFS2BURN_5330",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5331",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5333",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5339",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5341",1,14,"FFS2BURN",4,"fir"
"FFS2BURN_5342",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5343",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5344",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5345",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5364",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5376",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5385",1,9,"FFS2BURN",3,"fir"
"FFS2BURN_5388",1,7,"FFS2BURN",3,"fir"
"FFS2BURN_5393",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5394",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_5396",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5464",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5466",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5467",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5469",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5470",1,16,"FFS2BURN",4,"fir"
