"PlotID","treatment","trt_yr_1","trt_yr_2","trt_yr_3"
"FFS2BURN","Burn",2001,NA,NA
"FFS5BURN","Burn",2001,NA,NA
"FFS6BURN","Burn",2001,NA,NA
"FFS7CONTROL","None",NA,NA,NA
